年份,销售额,黑猪售出,黑猪购入,小花猪售出,小花猪购入,大花白猪售出,大花白猪购入
0,  319352,    77,     107,        70,        113,      61,        92
1,  0,    0,     0,        0,        0,      0,        0
2,  0,    0,     0,        0,        0,      0,        0
3,  0,    0,     0,        0,        0,      0,        0
4,  0,    0,     0,        0,        0,      0,        0

